y=966, x=475..477
y=1193, x=518..533
x=453, y=796..804
x=476, y=157..168
y=1837, x=580..633
x=473, y=202..208
x=528, y=562..573
x=464, y=286..296
x=541, y=638..649
x=469, y=1772..1780
x=479, y=644..650
x=473, y=1570..1585
x=544, y=1683..1694
y=536, x=477..481
x=478, y=176..190
y=368, x=583..585
y=1146, x=591..614
y=1283, x=557..560
x=556, y=202..204
x=469, y=828..842
x=520, y=751..765
x=596, y=743..745
x=514, y=56..58
x=451, y=1366..1376
x=606, y=572..582
x=586, y=1267..1277
x=449, y=1135..1156
x=553, y=331..348
x=452, y=113..124
y=1765, x=624..649
x=595, y=1495..1509
x=455, y=304..314
x=627, y=1462..1478
y=1005, x=641..647
x=605, y=303..306
y=825, x=553..573
x=555, y=798..803
y=1156, x=447..449
x=586, y=799..820
y=1863, x=474..490
x=609, y=700..722
x=457, y=893..919
x=569, y=953..965
x=579, y=1090..1100
y=936, x=610..634
y=528, x=542..550
x=564, y=819..821
y=1297, x=594..601
x=611, y=1691..1701
x=485, y=1702..1706
x=602, y=706..709
y=140, x=491..507
x=624, y=412..414
x=556, y=319..333
x=568, y=1708..1719
y=152, x=596..603
y=47, x=627..652
x=596, y=1094..1097
y=295, x=543..571
x=510, y=160..169
y=501, x=481..497
y=1382, x=471..476
y=719, x=525..543
y=1706, x=477..485
y=498, x=509..532
y=1545, x=557..584
x=472, y=493..520
x=527, y=1454..1466
x=653, y=998..1011
y=1113, x=514..542
y=180, x=599..623
x=566, y=576..580
x=487, y=134..146
x=553, y=816..825
y=477, x=477..495
y=1218, x=457..466
y=1160, x=545..547
x=543, y=852..862
x=573, y=934..944
x=480, y=326..335
y=425, x=470..472
y=1464, x=497..513
x=500, y=155..157
x=600, y=1770..1783
x=535, y=379..383
x=485, y=786..789
y=1384, x=633..649
x=579, y=1492..1504
x=584, y=16..20
y=772, x=459..466
x=652, y=41..47
x=557, y=1650..1656
x=620, y=58..68
y=322, x=593..618
x=479, y=1562..1588
y=1541, x=574..577
y=1589, x=505..531
x=536, y=1455..1466
y=1561, x=553..569
x=548, y=563..573
x=631, y=1677..1679
y=1299, x=499..513
y=47, x=528..531
y=124, x=605..631
x=526, y=1370..1380
y=1777, x=579..581
x=582, y=1693..1696
x=572, y=1392..1413
x=577, y=750..753
x=571, y=321..324
x=493, y=443..456
